公司,航班号,起飞机场,到达机场,起飞时间,到达时间,机型,价格,最大折扣,满载,当前人数,起始城市,到达城市
四川航空股份有限公司,3U8792,地窝堡国际机场,中川机场,15:50,18:10,320,2644,0.2,140,130,乌鲁木齐,兰州
中国南方航空(集团)公司,CZ6520,萧山国际机场,桃仙机场,20:40,22:50,M90,2335,0.2,290,287,杭州,沈阳
中国南方航空(集团)公司,CZ3728,义乌机场,新白云国际机场,11:55,13:40,733,2135,0.4,280,273,义乌,广州
中国南方航空(集团)公司,CZ6863,地窝堡国际机场,阿克苏机场,14:10,16:10,AT7,1982,0.2,220,210,乌鲁木齐,阿克苏
中国国际航空公司,CA1158,首都国际机场,遥墙机场,19:00,19:50,738,1557,0.11,150,142,北京,济南
上海航空公司,FM5549,虹桥国际机场,流亭机场,21:30,22:50,320,2891,0.1,200,191,上海,青岛
中国南方航空(集团)公司,CZ634,新白云国际机场,长春龙嘉国际机场,19:35,23:30,319,3524,0.2,130,125,广州,长春
中国国际航空公司,CA4955,高崎国际机场,流亭机场,11:05,13:20,738,2087,0.19,300,291,厦门,青岛
四川航空股份有限公司,3U8857,新郑机场,长春龙嘉国际机场,16:00,18:05,319,3027,0.1,160,150,郑州,长春
中国国际航空公司,CA4954,新郑机场,遥墙机场,14:10,15:05,CR2,2010,0.5,260,252,郑州,济南
中国国际航空公司,CA4335,万州机场,新白云国际机场,16:45,18:35,73G,1726,0.2,290,284,万州,广州
中国南方航空(集团)公司,CZ370,浦东国际机场,天河机场,20:55,22:25,738,1362,0.1,110,105,上海,武汉
中国国际航空公司,CA4229,龙洞堡机场,长乐机场,9:35,11:30,733,2767,0.1,300,291,贵阳,福州
中国南方航空(集团)公司,CZ5414,双流国际机场,浦东国际机场,18:35,21:00,320,2253,0.5,250,245,成都,上海
中国南方航空(集团)公司,CZ6758,萧山国际机场,凤凰国际机场,12:50,17:30,320,3796,0.1,240,231,杭州,三亚
海航集团祥鹏航空公司,8L9970,周水子机场,天河机场,17:20,19:30,JET,1974,0.1,160,153,大连,武汉
鹰联航空公司,EU2205,双流国际机场,黄花机场,7:25,8:55,320,1787,0.41,160,152,成都,长沙
中国南方航空(集团)公司,CZ6805,地窝堡国际机场,喀什机场,14:25,16:05,73G,3181,0.1,160,152,乌鲁木齐,喀什
中国南方航空(集团)公司,CZ3291,两江国际机场,新白云国际机场,11:40,12:35,738,2859,0.2,200,197,桂林,广州
中国南方航空(集团)公司,CZ3206,中川机场,新白云国际机场,19:45,22:35,320,3360,0.18,250,242,兰州,广州
中国国际航空公司,CA422,首都国际机场,双流国际机场,13:00,15:35,319,1909,0,190,183,北京,成都
中国国际航空公司,CA1573,首都国际机场,昌北机场,8:35,10:55,738,2609,0.31,150,146,北京,南昌
中国国际航空公司,CA4637,美兰机场,桃仙机场,7:40,13:10,738,2873,0,260,251,海口,沈阳
中国国际航空公司,CA1410,江北国际机场,首都国际机场,19:00,21:30,JET,3666,0.28,150,140,重庆,北京
中国南方航空(集团)公司,CZ6141,长春龙嘉国际机场,首都国际机场,18:30,20:00,319,2904,0.33,160,153,长春,北京
中国南方航空(集团)公司,CZ3742,长春龙嘉国际机场,遥墙机场,13:40,15:35,320,2966,0.1,150,143,长春,济南
四川航空股份有限公司,3U8973,江北国际机场,浦东国际机场,14:15,16:10,319,2434,0.2,150,146,重庆,上海
中国国际航空公司,CA4588,天河机场,双流国际机场,21:20,23:05,319,2525,0.1,270,263,武汉,成都
中国南方航空(集团)公司,CZ6546,高崎国际机场,长春龙嘉国际机场,20:25,0:55,320,2414,0.48,120,114,厦门,长春
四川航空股份有限公司,3U8880,正定国际机场,江北国际机场,14:50,18:00,ERJ,3285,0.1,270,263,石家庄,重庆
中国国际航空公司,CA1385,首都国际机场,刘集机场,16:30,18:20,733,1926,0.4,180,173,北京,襄樊
中国南方航空(集团)公司,CZ6657,首都国际机场,黑河机场,7:35,11:00,320,2785,0.1,130,123,北京,黑河
鹰联航空公司,EU2709,双流国际机场,济宁曲阜机场,9:30,11:30,319,2699,0.5,220,214,成都,济宁
中国国际航空公司,CA1536,虹桥国际机场,流亭机场,18:20,19:40,JET,2710,0.2,130,124,上海,青岛
四川航空股份有限公司,3U8801,双流国际机场,咸阳机场,7:35,8:45,321,2104,0.3,140,131,成都,西安
中国南方航空(集团)公司,CZ6788,新白云国际机场,美兰机场,20:00,21:00,321,3442,0.2,220,216,广州,海口
中国国际航空公司,CA1185,遥墙机场,美兰机场,8:15,12:40,738,1950,0.4,300,297,济南,海口
中国南方航空(集团)公司,CZ3579,天河机场,浦东国际机场,14:00,15:40,738,2280,0,210,201,武汉,上海
中国南方航空(集团)公司,CZ6698,库尔勒机场,地窝堡国际机场,14:30,15:25,JET,2556,0,140,137,库尔勒,乌鲁木齐
中国国际航空公司,CA1159,遥墙机场,首都国际机场,20:35,21:25,738,2068,0.2,250,245,济南,北京
中国南方航空(集团)公司,CZ3589,宝安国际机场,虹桥国际机场,19:00,21:00,320,3790,0.3,100,96,深圳,上海
中国南方航空(集团)公司,CZ3562,虹桥国际机场,宝安国际机场,16:15,18:30,JET,3032,0.4,170,164,上海,深圳
四川航空股份有限公司,3U3202,兴东机场,流亭机场,16:40,17:50,EMB,1418,0,130,123,南通,青岛
中国南方航空(集团)公司,CZ3140,首都国际机场,天河机场,19:05,21:15,738,3471,0.4,300,292,北京,武汉
四川航空股份有限公司,3U8741,江北国际机场,新白云国际机场,7:50,9:35,320,3127,0.3,200,196,重庆,广州
中国国际航空公司,CA1763,萧山国际机场,黄花机场,8:10,9:35,319,2115,0.2,290,281,杭州,长沙
中国南方航空(集团)公司,CZ3784,永强机场,龙洞堡机场,12:40,16:10,73G,3198,0.4,300,294,温州,贵阳
中国南方航空(集团)公司,CZ5058,首都国际机场,巫家坝国际机场,16:20,19:25,333,3299,0.1,110,102,北京,昆明
中国南方航空(集团)公司,CZ5127,虹桥国际机场,首都国际机场,21:00,23:10,333,2391,0.5,160,153,上海,北京
上海航空公司,FM5432,龙洞堡机场,虹桥国际机场,17:55,20:05,M90,3115,0.2,270,265,贵阳,上海
中国南方航空(集团)公司,CZ6263,太平机场,咸阳机场,15:20,19:15,M90,2665,0.2,220,214,哈尔滨,西安
中国南方航空(集团)公司,CZ3720,白莲机场,新白云国际机场,20:20,21:35,JET,1744,0.3,250,244,柳州,广州
中国国际航空公司,CA1391,运城关公机场,新白云国际机场,11:05,13:30,73G,3023,0.3,280,270, 运城,广州
中国南方航空(集团)公司,CZ6582,昌北机场,禄口国际机场,19:05,20:05,JET,1529,0.1,240,230,南昌,南京
四川航空股份有限公司,3U8792,中川机场,凤凰国际机场,19:00,22:00,320,1552,0.3,300,293,兰州,三亚
中国南方航空(集团)公司,CZ3265,萧山国际机场,流亭机场,15:40,17:00,73G,3523,0,160,152,杭州,青岛
中国南方航空(集团)公司,CZ6409,桃仙机场,莱山机场,8:50,9:40,M90,1261,0.18,170,166,沈阳,烟台
中国南方航空(集团)公司,CZ3106,首都国际机场,新白云国际机场,13:15,16:15,JET,1850,0,290,284,北京,广州
四川航空股份有限公司,3U8868,双流国际机场,巫家坝国际机场,14:30,15:40,320,2609,0.26,240,236,成都,昆明
上海航空公司,FM2941,南苑机场,鄂尔多斯机场,13:55,15:00,738,2625,0,110,100,北京,鄂尔多斯
中国南方航空(集团)公司,CZ6725,凤凰国际机场,周水子机场,9:20,13:25,73G,1938,0.2,160,156,三亚,大连
中国南方航空(集团)公司,CZ6375,两江国际机场,龙洞堡机场,17:15,18:05,73G,3559,0.2,100,92,桂林,贵阳
中国国际航空公司,CA4861,莱山机场,虹桥国际机场,17:40,19:10,738,2544,0.5,160,153,烟台,上海
中国国际航空公司,CA4919,骆岗机场,龙洞堡机场,17:20,19:20,CR2,2055,0.3,140,137,合肥,贵阳
中国国际航空公司,CA1119,首都国际机场,大同机场,8:10,9:10,733,2576,0.37,160,152,北京,大同
中国南方航空(集团)公司,CZ3606,朝阳川机场,长春龙嘉国际机场,16:15,17:05,320,2182,0.3,180,172,延吉,长春
四川航空股份有限公司,3U8834,首都国际机场,江北国际机场,21:35,0:15,320,1580,0,200,190,北京,重庆
中国南方航空(集团)公司,CZ3286,首都国际机场,吴圩机场,12:35,16:05,738,1964,0.03,150,140,北京,南宁
中国南方航空(集团)公司,CZ3610,东郊机场,浦东国际机场,16:30,19:45,733,2639,0.45,250,244,佳木斯,上海
中国南方航空(集团)公司,CZ6343,新郑机场,长春龙嘉国际机场,11:20,13:40,733,3492,0.3,270,266,郑州,长春
中国南方航空(集团)公司,CZ5107,虹桥国际机场,首都国际机场,11:00,13:10,333,2706,0.1,280,272,上海,北京
中国南方航空(集团)公司,CZ6779,美兰机场,新白云国际机场,15:55,16:55,733,2571,0.4,210,206,海口,广州
四川航空股份有限公司,3U8871,双流国际机场,太原武宿机场,7:30,9:10,319,3073,0.2,140,136,成都,太原
中国南方航空(集团)公司,CZ6358,宝安国际机场,流亭机场,15:45,18:50,321,3157,0.4,220,215,深圳,青岛
中国南方航空(集团)公司,CZ3762,咸阳机场,黄花机场,13:00,14:30,738,1902,0.1,160,157,西安,长沙
中国国际航空公司,CA4954,白塔机场,新郑机场,11:25,13:35,CR2,2712,0.2,110,103,呼和浩特,郑州
中国国际航空公司,CA4914,吴圩机场,三灶机场,15:10,16:10,738,3363,0.1,240,230,南宁,珠海
中国南方航空(集团)公司,CZ3581,外砂机场,新白云国际机场,16:25,17:25,733,1531,0.08,230,227,汕头,广州
中国南方航空(集团)公司,CZ6458,滨海国际机场,周水子机场,14:00,14:50,319,2936,0,190,182,天津,大连
上海航空公司,FM2288,萧山国际机场,南苑机场,11:00,12:50,JET,3739,0.3,100,92,杭州,北京
东星航空有限公司,8C8206,天河机场,新郑机场,19:50,20:35,320,2982,0.2,280,277,武汉,郑州
中国南方航空(集团)公司,CZ6875,昌北机场,新郑机场,18:10,19:40,733,1446,0.1,160,150,南昌,郑州
鹰联航空公司,EU2237,双流国际机场,丽江机场,21:15,22:20,319,1850,0.37,170,165,成都,丽江
中国南方航空(集团)公司,CZ6452,龙洞堡机场,禄口国际机场,15:00,17:15,M90,3315,0,220,212,贵阳,南京
中国国际航空公司,CA1122,包头机场,首都国际机场,20:25,21:40,738,2901,0.5,290,287,包头,北京
中国国际航空公司,CA4716,遥墙机场,流亭机场,12:55,13:35,CR2,3108,0.2,240,230,济南,青岛
中国国际航空公司,CA1724,新白云国际机场,萧山国际机场,22:05,23:50,319,2973,0.4,280,276,广州,杭州
中国南方航空(集团)公司,CZ3327,新白云国际机场,湛江机场,14:05,15:05,320,3093,0.1,150,142,广州,湛江
中国国际航空公司,CA4986,萧山国际机场,遥墙机场,21:05,22:25,738,2605,0.1,290,286,杭州,济南
中国国际航空公司,CA1428,双流国际机场,滨海国际机场,17:15,19:35,JET,2903,0.4,290,287,成都,天津
中国国际航空公司,CA1898,硕放机场,首都国际机场,19:30,21:30,738,2212,0.3,190,180,无锡,北京
中国国际航空公司,CA4666,虹桥国际机场,流亭机场,17:55,19:15,738,1779,0.5,130,123,上海,青岛
奥凯航空,BK2828,凤凰国际机场,滨海国际机场,22:45,1:55,738,2782,0.3,280,272,三亚,天津
中国南方航空(集团)公司,CZ6325,周水子机场,宝安国际机场,8:25,12:55,321,2381,0.5,300,294,大连,深圳
上海航空公司,FM5302,新白云国际机场,虹桥国际机场,15:25,17:35,AB6,2462,0.1,300,294,广州,上海
四川航空股份有限公司,3U8821,萧山国际机场,曹家堡机场,8:30,13:00,320,2478,0.3,190,180,杭州,西宁
上海航空公司,FM5398,吴圩机场,虹桥国际机场,18:50,21:10,737,2768,0.41,250,247,南宁,上海
中国国际航空公司,CA4995,高崎国际机场,舟山普陀山机场,7:00,8:20,733,2652,0.23,100,91,厦门,舟山
中国南方航空(集团)公司,CZ6543,长春龙嘉国际机场,浦东国际机场,7:45,10:15,320,3173,0.5,220,215,长春,上海
中国南方航空(集团)公司,CZ6452,龙洞堡机场,桃仙机场,15:00,20:00,M90,2880,0.3,110,100,贵阳,沈阳
中国南方航空(集团)公司,CZ8125,江北国际机场,两江国际机场,14:55,15:55,320,2590,0.4,110,105,重庆,桂林
中国南方航空(集团)公司,CZ3776,宝安国际机场,黄花机场,16:25,17:40,757,3198,0.3,100,90,深圳,长沙
中国国际航空公司,CA4313,双流国际机场,宝安国际机场,12:55,15:00,JET,1891,0.4,240,230,成都,深圳
中国南方航空(集团)公司,CZ6981,新郑机场,高崎国际机场,13:50,15:20,757,2547,0,120,110,郑州,厦门
中国国际航空公司,CA985,浦东国际机场,首都国际机场,11:10,13:30,738,2289,0.3,170,160,上海,北京
中国国际航空公司,CA1104,白塔机场,首都国际机场,9:40,10:45,738,1599,0.3,250,244,呼和浩特,北京
中国南方航空(集团)公司,CZ3160,首都国际机场,宝安国际机场,15:55,18:55,320,2030,0.1,100,93,北京,深圳
中国国际航空公司,CA4769,高崎国际机场,巫家坝国际机场,20:30,23:00,738,2857,0.3,240,231,厦门,昆明
大新华航空有限公司,CN7127,首都国际机场,太平机场,8:25,10:00,738,1619,0.43,140,131,北京,哈尔滨
中国南方航空(集团)公司,CZ6542,浦东国际机场,长春龙嘉国际机场,17:50,20:00,320,2669,0.1,210,205,上海,长春
上海航空公司,FM5391,虹桥国际机场,新郑机场,18:45,20:30,320,2778,0.2,220,211,上海,郑州
中国国际航空公司,CA4616,凤凰国际机场,流亭机场,15:05,20:10,733,3645,0.3,190,183,三亚,青岛
中国南方航空(集团)公司,CZ3276,龙洞堡机场,吴圩机场,14:45,15:25,JET,1455,0.44,300,296,贵阳,南宁
中国国际航空公司,CA1950,双流国际机场,浦东国际机场,21:55,0:10,319,2517,0.33,150,143,成都,上海
中国南方航空(集团)公司,CZ6956,永强机场,地窝堡国际机场,17:20,0:25,73G,3313,0.06,120,114,温州,乌鲁木齐
中国南方航空(集团)公司,CZ3803,新白云国际机场,萧山国际机场,9:45,11:40,321,1451,0.2,220,210,广州,杭州
中国国际航空公司,CA4800,白塔机场,流亭机场,20:00,22:45,CR2,3218,0,100,94,呼和浩特,青岛
中国南方航空(集团)公司,CZ6132,首都国际机场,周水子机场,8:40,9:40,321,3063,0.4,140,131,北京,大连
中国南方航空(集团)公司,CZ3992,张家界机场,宝安国际机场,22:50,0:20,320,1709,0.3,140,133,张家界,深圳
中国南方航空(集团)公司,CZ6524,浦东国际机场,周水子机场,15:15,17:00,321,2730,0.3,260,255,上海,大连
中国国际航空公司,CA4102,首都国际机场,双流国际机场,11:00,13:45,321,2921,0.1,200,197,北京,成都
上海航空公司,FM5407,浦东国际机场,双流国际机场,9:05,12:20,JET,3841,0.2,140,135,上海,成都
中国国际航空公司,CA3105,虹桥国际机场,首都国际机场,15:30,18:00,767,3549,0.5,210,206,上海,北京
中国国际航空公司,CA1801,首都国际机场,高崎国际机场,20:05,22:45,738,3084,0.1,150,143,北京,厦门
中国南方航空(集团)公司,CZ5014,首都国际机场,咸阳机场,8:00,9:50,JET,3516,0.2,300,293,北京,西安
中国南方航空(集团)公司,CZ3669,龙洞堡机场,流亭机场,16:50,20:40,73G,1489,0.4,160,151,贵阳,青岛
四川航空股份有限公司,3U9710,济宁曲阜机场,双流国际机场,17:45,20:05,319,1437,0.4,270,260,济宁,成都
中国南方航空(集团)公司,CZ6952,中川机场,地窝堡国际机场,20:25,23:20,757,1717,0.2,280,270,兰州,乌鲁木齐
中国南方航空(集团)公司,CZ5126,首都国际机场,虹桥国际机场,20:00,22:00,333,2321,0.4,210,206,北京,上海
中国南方航空(集团)公司,CZ6469,桃仙机场,太原武宿机场,8:20,10:00,JET,1189,0,150,144,沈阳,太原
上海航空公司,FM5611,浦东国际机场,太平机场,15:30,18:15,JET,1639,0.2,300,292,上海,哈尔滨
中国南方航空(集团)公司,CZ3129,黄花机场,桃仙机场,12:20,16:35,320,2706,0.28,110,105,长沙,沈阳
中国南方航空(集团)公司,CZ3263,吴圩机场,昌北机场,8:00,9:30,73G,3327,0.4,250,247,南宁,南昌
四川航空股份有限公司,3U8872,太原武宿机场,双流国际机场,9:55,12:00,319,2034,0.3,170,162,太原,成都
中国南方航空(集团)公司,CZ3527,新白云国际机场,永强机场,14:55,16:20,320,3125,0.32,250,246,广州,温州
上海航空公司,FM5304,新白云国际机场,虹桥国际机场,10:30,12:35,733,3451,0.49,230,221,广州,上海
四川航空股份有限公司,3U8912,萧山国际机场,双流国际机场,17:20,20:05,320,3659,0.5,280,276,杭州,成都
中国南方航空(集团)公司,CZ3722,长春龙嘉国际机场,宝安国际机场,18:00,23:20,320,3002,0.4,270,267,长春,深圳
中国国际航空公司,CA4715,流亭机场,遥墙机场,8:30,9:10,CR2,3678,0.3,240,236,青岛,济南
中国南方航空(集团)公司,CZ6637,首都国际机场,白塔机场,21:40,22:35,738,2514,0.03,260,252,北京,呼和浩特
中国国际航空公司,CA4992,禄口国际机场,遥墙机场,21:00,21:55,737,3597,0.14,130,120,南京,济南
中国国际航空公司,CA4913,高崎国际机场,吴圩机场,11:25,14:25,738,2810,0.3,290,285,厦门,南宁
中国南方航空(集团)公司,CZ6475,义乌机场,新郑机场,12:30,14:00,733,3649,0.13,190,182,义乌,郑州
中国南方航空(集团)公司,CZ6713,凤凰国际机场,首都国际机场,19:50,23:40,321,2572,0.2,240,237,三亚,北京
四川航空股份有限公司,3U8869,江北国际机场,鄂尔多斯机场,9:10,12:40,ERJ,3429,0.3,170,166,重庆,鄂尔多斯
中国国际航空公司,CA4623,流亭机场,周水子机场,9:20,10:10,733,3281,0.2,110,102,青岛,大连
中国南方航空(集团)公司,CZ362,新白云国际机场,新郑机场,12:50,14:50,738,2919,0.3,110,101,广州,郑州
中国国际航空公司,CA4165,龙洞堡机场,首都国际机场,15:35,18:30,733,1895,0.4,110,102,贵阳,北京
中国国际航空公司,CA4187,双流国际机场,首都国际机场,12:50,16:30,319,2361,0.1,130,120,成都,北京
中国南方航空(集团)公司,CZ3157,新白云国际机场,滨海国际机场,10:55,15:00,733,3231,0.3,250,245,广州,天津
中国南方航空(集团)公司,CZ6112,首都国际机场,桃仙机场,15:00,16:10,319,1111,0.1,280,273,北京,沈阳
四川航空股份有限公司,3U8987,双流国际机场,骆岗机场,17:40,19:30,319,1524,0.1,280,276,成都,合肥
中国国际航空公司,CA1337,首都国际机场,宝安国际机场,8:30,11:30,321,1881,0,220,211,北京,深圳
中国南方航空(集团)公司,CZ3494,西双版纳机场,巫家坝国际机场,22:45,23:25,733,2008,0.4,250,241,景洪,昆明
中国南方航空(集团)公司,CZ3864,巫家坝国际机场,吴圩机场,21:10,22:00,JET,2013,0.4,110,106,昆明,南宁
中国国际航空公司,CA4977,遥墙机场,白塔机场,18:45,20:15,CR2,1350,0.06,130,126,济南,呼和浩特
中国南方航空(集团)公司,CZ6432,巫家坝国际机场,观音机场,15:30,18:10,321,2733,0.2,230,222,昆明,徐州
四川航空股份有限公司,3U8927,双流国际机场,栎社机场,9:00,12:50,319,1594,0.1,210,206,成都,宁波
四川航空股份有限公司,3U8890,首都国际机场,双流国际机场,20:10,23:00,321,1857,0.3,160,153,北京,成都
中国国际航空公司,CA1506,长乐机场,首都国际机场,12:05,14:30,738,1593,0.5,150,142,福州,北京
四川航空股份有限公司,3U9759,双流国际机场,禄口国际机场,8:55,10:55,319,3173,0.45,210,201,成都,南京
中国国际航空公司,CA1853,首都国际机场,栎社机场,19:30,21:30,738,2343,0.3,300,293,北京,宁波
中国南方航空(集团)公司,CZ3147,福城机场,首都国际机场,8:00,12:35,320,3461,0.3,160,154,北海,北京
中国南方航空(集团)公司,CZ3339,新白云国际机场,梅县机场,19:55,21:00,ERJ,2403,0.3,100,93,广州,梅县
中国南方航空(集团)公司,CZ5010,首都国际机场,禄口国际机场,17:35,19:15,321,2817,0.05,170,163,北京,南京
上海航空公司,FM2514,虹桥国际机场,天河机场,8:00,9:45,320,3220,0.2,210,207,上海,武汉
中国南方航空(集团)公司,CZ3113,新白云国际机场,首都国际机场,17:00,20:10,77A,3447,0.4,160,153,广州,北京
中国南方航空(集团)公司,CZ3218,河东机场,新白云国际机场,13:15,17:30,JET,2782,0.1,160,150,银川,广州
上海航空公司,FM5189,虹桥国际机场,滨海国际机场,13:20,15:05,320,3519,0.1,100,97,上海,天津
大新华航空有限公司,CN7216,两江国际机场,首都国际机场,13:10,16:00,738,2700,0.1,200,197,桂林,北京
中国国际航空公司,CA4800,河东机场,高崎国际机场,13:35,17:55,738,2040,0.2,130,120,银川,厦门
中国国际航空公司,CA4777,流亭机场,滨海国际机场,17:35,18:35,CR2,2972,0,170,164,青岛,天津
中国南方航空(集团)公司,CZ3773,黄花机场,太原武宿机场,10:05,12:00,73G,1338,0.28,130,122,长沙,太原
中国南方航空(集团)公司,CZ3355,天河机场,宝安国际机场,15:30,16:50,738,3348,0.3,290,286,武汉,深圳
中国国际航空公司,CA4950,凤凰国际机场,遥墙机场,22:40,1:45,733,3322,0.4,240,235,三亚,济南
中国南方航空(集团)公司,CZ6939,咸阳机场,天河机场,13:55,15:00,73G,3621,0.2,210,201,西安,武汉
中国南方航空(集团)公司,CZ352,新白云国际机场,桃仙机场,13:20,16:35,321,1146,0.3,170,167,广州,沈阳
中国南方航空(集团)公司,CZ3245,新白云国际机场,铜仁机场,11:15,12:50,ERJ,1721,0.3,170,164,广州,铜仁
中国南方航空(集团)公司,CZ3608,周水子机场,栎社机场,15:55,17:50,738,2290,0.39,250,245,大连,宁波
中国南方航空(集团)公司,CZ6536,浦东国际机场,周水子机场,18:50,20:30,321,1914,0.1,280,274,上海,大连
中国南方航空(集团)公司,CZ3464,江北国际机场,新白云国际机场,17:30,19:10,319,3090,0.2,180,174,重庆,广州
四川航空股份有限公司,3U8823,双流国际机场,中川机场,11:35,12:50,JET,2373,0.5,260,254,成都,兰州
中国国际航空公司,CA1471,首都国际机场,两江国际机场,11:50,14:55,320,2759,0.27,160,156,北京,桂林
中国南方航空(集团)公司,CZ3632,太平机场,天河机场,12:55,17:40,738,1294,0.25,280,277,哈尔滨,武汉
中国南方航空(集团)公司,CZ3120,首都国际机场,美兰机场,13:10,17:00,321,1664,0.5,170,163,北京,海口
中国国际航空公司,CA1475,首都国际机场,天河机场,10:50,13:00,JET,2782,0.4,290,280,北京,武汉
中国南方航空(集团)公司,CZ5105,虹桥国际机场,首都国际机场,10:00,12:10,333,1933,0.3,190,187,上海,北京
中国南方航空(集团)公司,CZ6188,首都国际机场,龙洞堡机场,19:25,22:25,738,2328,0,120,116,北京,贵阳
中国国际航空公司,CA1614,朝阳川机场,首都国际机场,9:20,11:30,738,3053,0,280,270,延吉,北京
四川航空股份有限公司,3U8924,禄口国际机场,双流国际机场,14:35,16:55,320,2987,0.23,160,157,南京,成都
中国南方航空(集团)公司,CZ5040,虹桥国际机场,巫家坝国际机场,11:40,15:00,763,2032,0.2,100,96,上海,昆明
中国国际航空公司,CA934,首都国际机场,浦东国际机场,14:20,16:30,340,2082,0.22,300,294,北京,上海
中国南方航空(集团)公司,CZ3905,首都国际机场,萧山国际机场,9:10,11:10,321,2082,0.2,180,174,北京,杭州
中国国际航空公司,CA1498,新郑机场,首都国际机场,8:00,9:10,733,3506,0.4,170,167,郑州,北京
中国南方航空(集团)公司,CZ3171,姜营机场,首都国际机场,11:20,14:05,738,2736,0.4,220,214,南阳,北京
中国南方航空(集团)公司,CZ3614,海浪机场,新白云国际机场,16:30,23:00,733,3505,0.4,270,261,牡丹江,广州
中国南方航空(集团)公司,CZ6254,咸阳机场,朝阳川机场,22:05,1:55,319,3015,0.37,140,133,西安,延吉
中国国际航空公司,CA1190,宝安国际机场,遥墙机场,20:45,23:05,738,1930,0.2,160,154,深圳,济南
中国南方航空(集团)公司,CZ6552,虹桥国际机场,莱山机场,20:30,22:05,319,3107,0.1,100,94,上海,烟台
中国南方航空(集团)公司,CZ6343,巫家坝国际机场,新郑机场,7:50,10:10,733,3814,0.3,220,211,昆明,郑州
中国南方航空(集团)公司,CZ3639,凤凰国际机场,黄花机场,12:00,14:00,320,3139,0,230,220,三亚,长沙
中国国际航空公司,CA4188,达县机场,双流国际机场,21:00,22:00,319,2987,0,170,167,达县,成都
中国国际航空公司,CA1408,双流国际机场,首都国际机场,20:00,22:30,JET,2078,0.2,210,204,成都,北京
中国国际航空公司,CA4370,宝安国际机场,江北国际机场,10:25,12:30,738,3181,0.4,150,141,深圳,重庆
中国南方航空(集团)公司,CZ6190,长洲机场,新白云国际机场,13:25,14:10,ERJ,2468,0.4,300,295,梧州,广州
四川航空股份有限公司,3U8919,双流国际机场,萧山国际机场,21:05,23:05,320,2991,0.1,140,133,成都,杭州
四川航空股份有限公司,3U8814,观音机场,双流国际机场,18:45,21:15,319,2695,0.4,160,153,徐州,成都
中国南方航空(集团)公司,CZ3778,栎社机场,新白云国际机场,11:05,13:00,320,2113,0.44,270,261,宁波,广州
四川航空股份有限公司,3U8784,宝安国际机场,江北国际机场,15:50,18:00,320,2725,0.31,210,202,深圳,重庆
中国南方航空(集团)公司,CZ6409,莱山机场,双流国际机场,10:30,13:40,M90,3132,0.1,300,293,烟台,成都
中国国际航空公司,CA4709,流亭机场,栎社机场,7:55,9:20,733,1774,0.3,270,264,青岛,宁波
中国南方航空(集团)公司,CZ3473,新郑机场,双流国际机场,8:00,9:55,738,2593,0.2,250,243,郑州,成都
四川航空股份有限公司,3U8839,禄口国际机场,太平机场,11:00,13:20,320,1194,0.1,250,245,南京,哈尔滨
中国国际航空公司,CA1641,首都国际机场,周水子机场,11:50,13:10,JET,2343,0,180,176,北京,大连
中国南方航空(集团)公司,CZ6876,新郑机场,昌北机场,20:30,21:40,733,3517,0.4,300,290,郑州,南昌
中国南方航空(集团)公司,CZ6514,高崎国际机场,天河机场,22:10,23:30,73G,3199,0.35,240,232,厦门,武汉
四川航空股份有限公司,3U8745,江北国际机场,新白云国际机场,13:40,15:25,320,1196,0,200,196,重庆,广州
上海航空公司,FM5517,虹桥国际机场,黄岩机场,8:30,9:20,737,2584,0.2,110,103,上海,台州
中国国际航空公司,CA1465,首都国际机场,吴圩机场,15:30,18:45,321,3537,0.4,210,203,北京,南宁
中国南方航空(集团)公司,CZ5421,浦东国际机场,江北国际机场,10:45,13:35,320,3349,0.4,140,136,上海,重庆
中国南方航空(集团)公司,CZ3254,禄口国际机场,两江国际机场,20:15,22:10,JET,1062,0.21,260,254,南京,桂林
中国南方航空(集团)公司,CZ3423,天河机场,巫家坝国际机场,17:40,21:05,738,2872,0.06,280,274,武汉,昆明
中国国际航空公司,CA4113,双流国际机场,首都国际机场,8:00,10:30,JET,2954,0.1,280,273,成都,北京
上海航空公司,FM2275,南苑机场,新白云国际机场,17:30,19:55,738,2196,0.3,210,200,北京,广州
中国南方航空(集团)公司,CZ6427,新郑机场,巫家坝国际机场,12:15,14:40,321,2982,0.47,190,180,郑州,昆明
中国南方航空(集团)公司,CZ6434,咸阳机场,周水子机场,15:05,17:10,321,1896,0.26,120,115,西安,大连
中国南方航空(集团)公司,CZ6257,太平机场,浦东国际机场,8:00,10:40,JET,1248,0.05,160,152,哈尔滨,上海
中国南方航空(集团)公司,CZ3556,萧山国际机场,宝安国际机场,17:05,19:10,320,1103,0.3,190,183,杭州,深圳
中国国际航空公司,CA4352,新白云国际机场,兰田坝机场,19:05,21:00,73G,2965,0.3,210,201,广州,泸州
中国南方航空(集团)公司,CZ6280,太平机场,首都国际机场,19:50,22:00,319,3306,0.07,130,120,哈尔滨,北京
中国南方航空(集团)公司,CZ3725,义乌机场,首都国际机场,17:50,19:50,733,2777,0.2,180,170,义乌,北京
中国南方航空(集团)公司,CZ3455,宝安国际机场,江北国际机场,14:15,16:10,320,1608,0.1,100,93,深圳,重庆
